,Accession,EXPOCODE,Cruise_ID,Observation_type,Station_ID,Cast_number,Niskin_ID,Sample_ID,Date,Latitude,Longitude,Season,Pressure,Depth,Temperature,Salinity,Oxygen,Oxygen_flag,DIC,TALK,TALK_flag,pCO2_atm,ADT,SLA,SST,SST_hires,Chl,KD490
3844,,,AR18-C,,PMUI,4.0,1.0,,2017-06-17,40.3648,-70.77438333,summer,88.70135273,88.0,9.113,33.9083,232.0423533,2.0,2119.827959,2277.646352,2,406.76,-0.1072621304959608,0.016339238086768647,14.803471434327445,14.202160054543535,0.3901543414529722,0.0586511760751576
3845,,,AR18-C,,PMUI,4.0,3.0,,2017-06-17,40.3648,-70.77438333,summer,42.3299752,42.0,8.1655,32.62,276.5339086,2.0,2064.081403,2219.219951,2,406.76,-0.1072621304959608,0.016339238086768647,14.803471434327445,14.202160054543535,0.3901543414529722,0.0586511760751576
3846,,,AR18-C,,PMUI,4.0,4.0,,2017-06-17,40.3648,-70.77438333,summer,42.3299752,42.0,8.1672,32.6196,276.7082825,2.0,2068.404503,2218.016809,2,406.76,-0.1072621304959608,0.016339238086768647,14.803471434327445,14.202160054543535,0.3901543414529722,0.0586511760751576
3847,,,AR18-C,,PMUI,4.0,5.0,,2017-06-17,40.3648,-70.77438333,summer,22.1717594,22.0,9.3818,32.4704,293.5637892,2.0,2029.003379,2203.898857,2,406.76,-0.1072621304959608,0.016339238086768647,14.803471434327445,14.202160054543535,0.3901543414529722,0.0586511760751576
3848,,,AR18-C,,PMUI,4.0,7.0,,2017-06-17,40.3648,-70.77438333,summer,6.046606753,6.0,13.2142,32.1429,298.0630112,2.0,1974.736703,2182.237892,2,406.76,-0.1072621304959608,0.016339238086768647,14.803471434327445,14.202160054543535,0.3901543414529722,0.0586511760751576
3849,,,AR24B,,OSSM,3.0,1.0,,2017-10-28,39.9398,-70.88405,fall,441.8507061,438.0,6.6602,35.0904,188.5908288,2.0,2199.7,2314.2,2,406.76,-0.08613440980784848,0.07663981014710679,19.861873416860224,20.53744775277673,0.374943606562861,0.05814992581600274
3850,,,AR24B,,OSSM,3.0,2.0,,2017-10-28,39.9398,-70.88405,fall,441.8507061,438.0,6.6611,35.088,189.7647323,2.0,2201.5,2314.1,2,406.76,-0.08613440980784848,0.07663981014710679,19.861873416860224,20.53744775277673,0.374943606562861,0.05814992581600274
3851,,,AR24B,,OSSM,3.0,3.0,,2017-10-28,39.9398,-70.88405,fall,236.9488105,235.0,10.2052,35.3212,148.3963881,2.0,2205.6,2321.8,2,406.76,-0.08613440980784848,0.07663981014710679,19.861873416860224,20.53744775277673,0.374943606562861,0.05814992581600274
3852,,,AR24B,,OSSM,3.0,7.0,,2017-10-28,39.9398,-70.88405,fall,20.15526712,20.0,19.8247,34.9811,224.4392565,2.0,2050.6,2312.8,2,406.76,-0.08613440980784848,0.07663981014710679,19.861873416860224,20.53744775277673,0.374943606562861,0.05814992581600274
3853,,,AR24B,,OSSM,3.0,10.0,,2017-10-28,39.9398,-70.88405,fall,7.054119116,7.0,19.8676,34.9878,224.0483743,2.0,2048.7,2312.3,2,406.76,-0.08613440980784848,0.07663981014710679,19.861873416860224,20.53744775277673,0.374943606562861,0.05814992581600274
3854,,,AR24B,,CNSM,7.0,1.0,,2017-10-29,40.13568,-70.77445,fall,126.0050044,125.0,13.8286,35.6251,167.5591298,2.0,2177.4,2348.0,2,406.76,-0.03919987543876063,0.09873679810209855,19.254858368910508,20.08506016880581,0.38875978776061515,0.05764554974441281
3855,,,AR24B,,CNSM,7.0,3.0,,2017-10-29,40.13568,-70.77445,fall,70.55331806,70.0,15.5846,35.5598,168.3696767,2.0,2162.3,2341.0,2,406.76,-0.03919987543876063,0.09873679810209855,19.254858368910508,20.08506016880581,0.38875978776061515,0.05764554974441281
3856,,,AR24B,,CNSM,7.0,4.0,,2017-10-29,40.13568,-70.77445,fall,70.55331806,70.0,15.5978,35.5535,168.8496599,2.0,2161.5,2347.3,2,406.76,-0.03919987543876063,0.09873679810209855,19.254858368910508,20.08506016880581,0.38875978776061515,0.05764554974441281
3857,,,AR24B,,CNSM,7.0,5.0,,2017-10-29,40.13568,-70.77445,fall,35.27363978,35.0,20.1413,35.1597,220.4620727,2.0,2060.6,2329.2,2,406.76,-0.03919987543876063,0.09873679810209855,19.254858368910508,20.08506016880581,0.38875978776061515,0.05764554974441281
3858,,,AR24B,,CNSM,7.0,8.0,,2017-10-29,40.13568,-70.77445,fall,4.030967385,4.0,20.3857,35.191,223.0421414,2.0,2055.7,2322.2,2,406.76,-0.03919987543876063,0.09873679810209855,19.254858368910508,20.08506016880581,0.38875978776061515,0.05764554974441281
3859,,,AR24B,,ISSM,9.0,1.0,,2017-11-01,40.36378,-70.88342,fall,87.69316031,87.0,15.0054,35.1709,166.0037967,2.0,2145.6,2322.4,2,406.76,0.009183065376195405,0.12675230166181684,17.796521127665866,18.569649387995025,1.3389334761237077,0.1135051048568452
3860,,,AR24B,,ISSM,9.0,2.0,,2017-11-01,40.36378,-70.88342,fall,87.69316031,87.0,15.0053,35.1756,169.6157568,2.0,2147.5,2325.3,2,406.76,0.009183065376195405,0.12675230166181684,17.796521127665866,18.569649387995025,1.3389334761237077,0.1135051048568452
3861,,,AR24B,,ISSM,9.0,3.0,,2017-11-01,40.36378,-70.88342,fall,40.31406114,40.0,19.0256,34.808,223.5078409,2.0,2045.3,2304.0,2,406.76,0.009183065376195405,0.12675230166181684,17.796521127665866,18.569649387995025,1.3389334761237077,0.1135051048568452
3862,,,AR24B,,ISSM,9.0,6.0,,2017-11-01,40.36378,-70.88342,fall,10.07777562,10.0,17.1411,33.9391,234.2738843,2.0,2035.3,2265.6,2,406.76,0.009183065376195405,0.12675230166181684,17.796521127665866,18.569649387995025,1.3389334761237077,0.1135051048568452
3863,,,AR24B,,ISSM,9.0,9.0,,2017-11-01,40.36378,-70.88342,fall,5.038826162,5.0,17.0507,33.9175,235.1444919,2.0,2034.7,2265.4,2,406.76,0.009183065376195405,0.12675230166181684,17.796521127665866,18.569649387995025,1.3389334761237077,0.1135051048568452
3864,,,AR24C,,CNPM,2.0,1.0,,2017-11-06,40.13673,-70.77462,fall,128.0217222,127.0,14.0034,35.7023,164.8585077,2.0,2166.3,2349.9,2,406.76,-0.007793212268415279,0.13011425671198987,19.163784570485944,18.388857869611055,0.3452296343188082,0.05542871220392146
3865,,,AR24C,,CNPM,2.0,3.0,,2017-11-06,40.13673,-70.77462,fall,48.37682019,48.0,18.7781,35.0547,224.5857364,2.0,2058.8,2314.7,2,406.76,-0.007793212268415279,0.13011425671198987,19.163784570485944,18.388857869611055,0.3452296343188082,0.05542871220392146
3866,,,AR24C,,CNPM,2.0,4.0,,2017-11-06,40.13673,-70.77462,fall,48.37682019,48.0,18.7708,35.0564,224.8464453,2.0,2060.9,2315.4,2,406.76,-0.007793212268415279,0.13011425671198987,19.163784570485944,18.388857869611055,0.3452296343188082,0.05542871220392146
3867,,,AR24C,,CNPM,2.0,5.0,,2017-11-06,40.13673,-70.77462,fall,29.22630394,29.0,19.1075,35.1368,228.2500378,2.0,2055.3,2326.0,2,406.76,-0.007793212268415279,0.13011425671198987,19.163784570485944,18.388857869611055,0.3452296343188082,0.05542871220392146
3868,,,AR24C,,CNPM,2.0,7.0,,2017-11-06,40.13673,-70.77462,fall,7.054245383,7.0,18.5893,34.9107,230.0455848,2.0,2054.8,2319.1,2,406.76,-0.007793212268415279,0.13011425671198987,19.163784570485944,18.388857869611055,0.3452296343188082,0.05542871220392146
3869,,,AR24C,,PMCO,3.0,1.0,,2017-11-06,40.09615,-70.88348,fall,142.1386893,141.0,13.4478,35.6676,165.5400746,2.0,2167.0,2347.6,2,406.76,-0.027191907778176535,0.1212348111698242,19.545550687261528,18.538328313656244,0.36791525448063445,0.057274531387156845
3870,,,AR24C,,PMCO,3.0,2.0,,2017-11-06,40.09615,-70.88348,fall,142.1386893,141.0,13.4526,35.6688,165.4965901,2.0,2168.5,2350.2,2,406.76,-0.027191907778176535,0.1212348111698242,19.545550687261528,18.538328313656244,0.36791525448063445,0.057274531387156845
3871,,,AR24C,,PMCO,3.0,3.0,,2017-11-06,40.09615,-70.88348,fall,49.38460913,49.0,15.9258,35.8309,156.1648024,2.0,2159.5,2355.9,2,406.76,-0.027191907778176535,0.1212348111698242,19.545550687261528,18.538328313656244,0.36791525448063445,0.057274531387156845
3872,,,AR24C,,PMCO,3.0,5.0,,2017-11-06,40.09615,-70.88348,fall,34.2656145,34.0,18.6916,35.0041,229.9917681,2.0,2057.0,2324.5,2,406.76,-0.027191907778176535,0.1212348111698242,19.545550687261528,18.538328313656244,0.36791525448063445,0.057274531387156845
3873,,,AR24C,,PMCO,3.0,7.0,,2017-11-06,40.09615,-70.88348,fall,6.046458934,6.0,18.2868,34.8007,234.3608921,2.0,2050.9,2312.9,2,406.76,-0.027191907778176535,0.1212348111698242,19.545550687261528,18.538328313656244,0.36791525448063445,0.057274531387156845
3874,,,AR24C,,PMCI,4.0,1.0,,2017-11-07,40.2274,-70.88352,fall,121.9726703,121.0,14.64,35.6013,162.5870931,2.0,2160.9,2350.1,2,406.76,0.0028837178508880432,0.13397202236586062,18.672506815536583,17.612149661695092,0.35131839803910947,0.05578738455488756
3875,,,AR24C,,PMCI,4.0,3.0,,2017-11-07,40.2274,-70.88352,fall,62.48938088,62.0,16.0354,34.4632,219.5312667,2.0,2071.5,2298.5,2,406.76,0.0028837178508880432,0.13397202236586062,18.672506815536583,17.612149661695092,0.35131839803910947,0.05578738455488756
3876,,,AR24C,,PMCI,4.0,4.0,,2017-11-07,40.2274,-70.88352,fall,62.48938088,62.0,15.3861,34.4424,217.717747,2.0,2072.4,2296.9,2,406.76,0.0028837178508880432,0.13397202236586062,18.672506815536583,17.612149661695092,0.35131839803910947,0.05578738455488756
3877,,,AR24C,,PMCI,4.0,5.0,,2017-11-07,40.2274,-70.88352,fall,32.25021739,32.0,18.3347,34.857,229.0384357,2.0,2050.0,2318.0,2,406.76,0.0028837178508880432,0.13397202236586062,18.672506815536583,17.612149661695092,0.35131839803910947,0.05578738455488756
